Dataset,Classifier,Accuracy,F1_Score,False_Negative_Rate,False_Postive_Rate
CICIDS,MLP,80.34477886109933,0.891013084697955,0.0,0.0
CICIDS,LSTM,80.34477886109933,0.891013084697955,0.0,0.0
kitsune_Active_Wiretap,SVM,40.9864841144462,0.5814243027888446,0.0,0.0
kitsune_Active_Wiretap,MLP,59.0135158855538,0.0,1.0,1.0
kitsune_Active_Wiretap,LSTM,59.0135158855538,0.0,1.0,1.0
kitsune_Active_Wiretap,AE,40.9864841144462,0.5814243027888446,0.0,0.0
kitsune_SSDP_Flood,SVM,64.6262507357269,0.0,1.0,1.0
kitsune_SSDP_Flood,MLP,35.3737492642731,0.5226086956521739,0.0,0.0
kitsune_SSDP_Flood,LSTM,35.3737492642731,0.5226086956521739,0.0,0.0
kitsune_SSDP_Flood,AE,64.6262507357269,0.0,1.0,1.0
kitsune_ARP_MitM,SVM,53.96901453441942,0.0,1.0,1.0
kitsune_ARP_MitM,MLP,53.96901453441942,0.0,1.0,1.0
kitsune_ARP_MitM,LSTM,53.96901453441942,0.0,1.0,1.0
kitsune_ARP_MitM,AE,46.03098546558058,0.6304276495679755,0.0,0.0
kitsune_Video_Injection,SVM,4.449118265652807,0.0851920693928129,0.0,0.0
kitsune_Video_Injection,MLP,4.449118265652807,0.0851920693928129,0.0,0.0
kitsune_Video_Injection,LSTM,4.449118265652807,0.0851920693928129,0.0,0.0
kitsune_Video_Injection,AE,95.5508817343472,0.0,1.0,1.0
kitsune_SYN_DoS,SVM,99.74018475750576,0.0,1.0,1.0
kitsune_SYN_DoS,MLP,0.2598152424942263,0.0051828390440541,0.0,0.0
kitsune_SYN_DoS,LSTM,99.74018475750576,0.0,1.0,1.0
kitsune_SYN_DoS,AE,99.74018475750576,0.0,1.0,1.0
kitsune_SSL_Renegotiation,SVM,3.877514042398985,0.0746555032269317,0.0,0.0
kitsune_SSL_Renegotiation,MLP,96.122485957601,0.0,1.0,1.0
kitsune_SSL_Renegotiation,LSTM,96.122485957601,0.0,1.0,1.0
kitsune_SSL_Renegotiation,AE,96.122485957601,0.0,1.0,1.0
kitsune_1MFuzzing,SVM,81.23329174835146,0.0,1.0,1.0
kitsune_1MFuzzing,MLP,18.76670825164855,0.3160264105642257,0.0,0.0
kitsune_1MFuzzing,LSTM,18.76670825164855,0.3160264105642257,0.0,0.0
kitsune_1MFuzzing,AE,81.23329174835146,0.0,1.0,1.0
kitsune_1MMirai,SVM,82.73155416012558,0.9054982817869416,0.0,0.0
kitsune_1MMirai,MLP,82.73155416012558,0.9054982817869416,0.0,0.0
kitsune_1MMirai,LSTM,17.26844583987441,0.0,1.0,1.0
kitsune_1MMirai,AE,82.73155416012558,0.9054982817869416,0.0,0.0
kitsune_1MOS_Scan,SVM,4.169611307420495,0.0800542740841248,0.0,0.0
kitsune_1MOS_Scan,MLP,4.169611307420495,0.0800542740841248,0.0,0.0
kitsune_1MOS_Scan,LSTM,4.169611307420495,0.0800542740841248,0.0,0.0
kitsune_1MOS_Scan,AE,95.8303886925795,0.0,1.0,1.0
KDD,MLP,97.41228766470869,0.9759551556276737,0.01194743130227,0.01194743130227
KDD,LSTM,97.03127480552467,0.9723985239852398,0.0161290322580645,0.0161290322580645
KDD,AE,88.2044769010954,0.8948039076879513,0.056152927120669,0.056152927120669
CICIDS,AE,80.34477886109933,0.891013084697955,0.0,0.0
UNSW,MLP,63.699161751009,0.778246645488597,0.0,0.0
UNSW,LSTM,63.699161751009,0.778246645488597,0.0,0.0
UNSW,AE,63.699161751009,0.778246645488597,0.0,0.0
KDD,SVM,78.77440863629147,0.7519940641810424,0.3945639187574671,0.3945639187574671
CICIDS,SVM,80.34477886109933,0.891013084697955,0.0,0.0
UNSW,SVM,63.699161751009,0.778246645488597,0.0,0.0
